,time,t2m
0,2007-01-01,20.402008
1,2007-01-01,17.424469
2,2007-01-01,20.58731
3,2007-01-01,25.310455
4,2007-01-02,21.084625
5,2007-01-02,18.213776
6,2007-01-02,21.539215
7,2007-01-02,24.799469
8,2007-01-03,19.590973
9,2007-01-03,17.63443
10,2007-01-03,21.526031
11,2007-01-03,23.558746
12,2007-01-04,19.182526
13,2007-01-04,19.384186
14,2007-01-04,21.019928
15,2007-01-04,21.564117
16,2007-01-05,19.61612
17,2007-01-05,19.059967
18,2007-01-05,21.032867
19,2007-01-05,26.106354
20,2007-01-06,21.033112
21,2007-01-06,18.641022
22,2007-01-06,22.836578
23,2007-01-06,27.216217
24,2007-01-07,20.966217
25,2007-01-07,19.044342
26,2007-01-07,20.716217
27,2007-01-07,22.99942
28,2007-01-08,20.003082
29,2007-01-08,17.799469
30,2007-01-08,18.744781
31,2007-01-08,23.371246
32,2007-01-09,18.610504
33,2007-01-09,17.155914
34,2007-01-09,20.120758
35,2007-01-09,23.45108
36,2007-01-10,20.649323
37,2007-01-10,18.707428
38,2007-01-10,22.078278
39,2007-01-10,27.086823
40,2007-01-11,21.335602
41,2007-01-11,18.964996
42,2007-01-11,22.216705
43,2007-01-11,23.25528
44,2007-01-12,18.910065
45,2007-01-12,18.793854
46,2007-01-12,19.685944
47,2007-01-12,24.664215
48,2007-01-13,19.48819
49,2007-01-13,16.15567
50,2007-01-13,21.914703
51,2007-01-13,27.45987
52,2007-01-14,20.092194
53,2007-01-14,15.571442
54,2007-01-14,21.200348
55,2007-01-14,27.403229
56,2007-01-15,19.968658
57,2007-01-15,17.01358
58,2007-01-15,20.97647
59,2007-01-15,25.920319
60,2007-01-16,19.28482
61,2007-01-16,16.552399
62,2007-01-16,19.74405
63,2007-01-16,24.457184
64,2007-01-17,19.014801
65,2007-01-17,15.344147
66,2007-01-17,18.895416
67,2007-01-17,18.300201
68,2007-01-18,15.907867
69,2007-01-18,16.336823
70,2007-01-18,19.934967
71,2007-01-18,25.42154
72,2007-01-19,21.112457
73,2007-01-19,18.125885
74,2007-01-19,21.616608
75,2007-01-19,25.10318
76,2007-01-20,17.700836
77,2007-01-20,18.49234
78,2007-01-20,18.77652
79,2007-01-20,21.750885
80,2007-01-21,17.815582
81,2007-01-21,16.232086
82,2007-01-21,19.0607
83,2007-01-21,26.314362
84,2007-01-22,19.104645
85,2007-01-22,15.96817
86,2007-01-22,16.966461
87,2007-01-22,23.437653
88,2007-01-23,18.759918
89,2007-01-23,16.66397
90,2007-01-23,19.87735
91,2007-01-23,26.556305
92,2007-01-24,21.085358
93,2007-01-24,16.933014
94,2007-01-24,20.602448
95,2007-01-24,27.685944
96,2007-01-25,20.818268
97,2007-01-25,17.931793
98,2007-01-25,21.384186
99,2007-01-25,27.108795
100,2007-01-26,20.894684
101,2007-01-26,19.09024
102,2007-01-26,22.000885
