,time,latitude,longitude,number,step,surface,valid_time,pm2p5
55,2006-08-14 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-14 18:00:00,5.2933373e-09
56,2006-08-15 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-15 00:00:00,7.274881e-09
57,2006-08-15 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-15 06:00:00,9.8074295e-09
58,2006-08-15 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-15 12:00:00,9.757265e-09
59,2006-08-15 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-15 18:00:00,1.519587e-08
60,2006-08-16 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-16 00:00:00,2.1055527e-08
61,2006-08-16 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-16 06:00:00,1.4091938e-08
62,2006-08-16 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-16 12:00:00,2.6859603e-08
63,2006-08-16 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-16 18:00:00,2.5920333e-08
64,2006-08-17 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-17 00:00:00,7.0326536e-09
65,2006-08-17 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-17 06:00:00,4.5998583e-09
66,2006-08-17 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-17 12:00:00,1.5639117e-08
67,2006-08-17 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-17 18:00:00,1.0247156e-08
68,2006-08-18 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-18 00:00:00,9.789606e-09
69,2006-08-18 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-18 06:00:00,8.084541e-09
70,2006-08-18 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-18 12:00:00,8.068277e-09
71,2006-08-18 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-18 18:00:00,4.6092765e-09
72,2006-08-19 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-19 00:00:00,3.864688e-09
73,2006-08-19 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-19 06:00:00,5.4190608e-09
74,2006-08-19 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-19 12:00:00,0.0
75,2006-08-19 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-19 18:00:00,2.2251498e-12
76,2006-08-20 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-20 00:00:00,4.2536534e-09
77,2006-08-20 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-20 06:00:00,8.31303e-09
78,2006-08-20 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-20 12:00:00,0.0
79,2006-08-20 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-20 18:00:00,2.9408556e-09
80,2006-08-21 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-21 00:00:00,2.8933782e-09
81,2006-08-21 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-21 06:00:00,1.7896649e-09
82,2006-08-21 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-21 12:00:00,0.0
83,2006-08-21 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-21 18:00:00,0.0
84,2006-08-22 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-22 00:00:00,6.0741137e-09
85,2006-08-22 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-22 06:00:00,1.3069023e-08
86,2006-08-22 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-22 12:00:00,9.507762e-09
87,2006-08-22 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-22 18:00:00,1.2579473e-09
88,2006-08-23 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-23 00:00:00,1.2799671e-07
89,2006-08-23 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-23 06:00:00,3.1953618e-07
90,2006-08-23 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-23 12:00:00,2.2660589e-07
91,2006-08-23 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-23 18:00:00,1.0889046e-08
92,2006-08-24 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-24 00:00:00,5.6953304e-08
93,2006-08-24 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-24 06:00:00,5.2169355e-08
94,2006-08-24 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-24 12:00:00,3.3770085e-08
95,2006-08-24 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-24 18:00:00,6.118075e-09
96,2006-08-25 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-25 00:00:00,1.3353224e-07
97,2006-08-25 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-25 06:00:00,1.3239793e-07
98,2006-08-25 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-25 12:00:00,1.0259191e-07
99,2006-08-25 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-25 18:00:00,1.5901794e-08
100,2006-08-26 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-26 00:00:00,3.257949e-08
101,2006-08-26 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-26 06:00:00,2.1442332e-08
102,2006-08-26 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-26 12:00:00,1.9985475e-08
103,2006-08-26 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-26 18:00:00,2.210313e-08
104,2006-08-27 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-27 00:00:00,2.9322958e-08
105,2006-08-27 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-27 06:00:00,2.666971e-08
106,2006-08-27 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-27 12:00:00,2.1314342e-08
107,2006-08-27 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-27 18:00:00,1.2900248e-08
108,2006-08-28 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-28 00:00:00,1.8925594e-08
109,2006-08-28 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-28 06:00:00,2.029936e-08
110,2006-08-28 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-28 12:00:00,4.3295145e-09
111,2006-08-28 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-28 18:00:00,1.5489896e-09
112,2006-08-29 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-29 00:00:00,2.746008e-09
113,2006-08-29 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-29 06:00:00,3.6886647e-09
114,2006-08-29 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-29 12:00:00,0.0
115,2006-08-29 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-29 18:00:00,0.0
116,2006-08-30 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-30 00:00:00,7.383889e-09
117,2006-08-30 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-30 06:00:00,7.0721065e-09
118,2006-08-30 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-30 12:00:00,3.9675747e-09
119,2006-08-30 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-30 18:00:00,1.709874e-09
120,2006-08-31 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-31 00:00:00,4.840185e-09
121,2006-08-31 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-31 06:00:00,5.0645497e-09
122,2006-08-31 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-31 12:00:00,2.1651957e-08
123,2006-08-31 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-08-31 18:00:00,2.5510545e-08
124,2006-09-01 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-01 00:00:00,2.2561359e-08
125,2006-09-01 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-01 06:00:00,2.0457385e-08
126,2006-09-01 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-01 12:00:00,3.4148705e-08
127,2006-09-01 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-01 18:00:00,2.8972e-08
128,2006-09-02 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-02 00:00:00,2.489401e-08
129,2006-09-02 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-02 06:00:00,1.2108622e-08
130,2006-09-02 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-02 12:00:00,1.9769804e-08
131,2006-09-02 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-02 18:00:00,2.2076974e-09
132,2006-09-03 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-03 00:00:00,9.646381e-10
133,2006-09-03 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-03 06:00:00,1.3858794e-09
134,2006-09-03 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-03 12:00:00,0.0
135,2006-09-03 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-03 18:00:00,0.0
136,2006-09-04 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-04 00:00:00,2.035577e-09
137,2006-09-04 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-04 06:00:00,3.8567975e-09
138,2006-09-04 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-04 12:00:00,0.0
139,2006-09-04 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-04 18:00:00,5.7966654e-10
140,2006-09-05 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-05 00:00:00,2.8573652e-09
141,2006-09-05 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-05 06:00:00,4.114579e-09
142,2006-09-05 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-05 12:00:00,0.0
143,2006-09-05 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-05 18:00:00,0.0
144,2006-09-06 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-06 00:00:00,1.669515e-08
145,2006-09-06 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-06 06:00:00,2.4474804e-08
146,2006-09-06 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-06 12:00:00,3.638071e-09
147,2006-09-06 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-06 18:00:00,4.501126e-11
148,2006-09-07 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-07 00:00:00,2.2073667e-08
149,2006-09-07 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-07 06:00:00,1.0869716e-08
150,2006-09-07 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-07 12:00:00,7.665314e-09
151,2006-09-07 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-07 18:00:00,8.305168e-09
152,2006-09-08 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-08 00:00:00,1.5504185e-08
153,2006-09-08 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-08 06:00:00,1.0821783e-08
154,2006-09-08 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-08 12:00:00,2.2235106e-08
155,2006-09-08 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-08 18:00:00,1.7996982e-08
156,2006-09-09 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-09 00:00:00,2.0416856e-08
157,2006-09-09 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-09 06:00:00,2.1583894e-08
158,2006-09-09 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-09 12:00:00,3.045936e-08
159,2006-09-09 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-09 18:00:00,2.0766109e-08
160,2006-09-10 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-10 00:00:00,1.747344e-08
161,2006-09-10 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-10 06:00:00,1.6094411e-08
162,2006-09-10 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-10 12:00:00,2.1608916e-08
163,2006-09-10 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-10 18:00:00,2.7082358e-08
164,2006-09-11 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-11 00:00:00,4.2286842e-08
165,2006-09-11 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-11 06:00:00,4.9425637e-08
166,2006-09-11 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-11 12:00:00,0.0
167,2006-09-11 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-11 18:00:00,1.0262711e-09
168,2006-09-12 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-12 00:00:00,1.7256276e-08
169,2006-09-12 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-12 06:00:00,3.415933e-08
170,2006-09-12 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-12 12:00:00,4.1214662e-08
171,2006-09-12 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-12 18:00:00,1.8402378e-08
172,2006-09-13 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-13 00:00:00,2.7820128e-08
173,2006-09-13 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-13 06:00:00,2.9629646e-08
174,2006-09-13 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-13 12:00:00,3.4597591e-09
175,2006-09-13 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-13 18:00:00,6.213917e-11
176,2006-09-14 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-14 00:00:00,1.4263776e-08
177,2006-09-14 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-14 06:00:00,3.588616e-08
178,2006-09-14 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-14 12:00:00,4.7800867e-08
179,2006-09-14 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-14 18:00:00,2.2031067e-08
180,2006-09-15 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-15 00:00:00,2.6185326e-08
181,2006-09-15 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-15 06:00:00,2.4620189e-08
182,2006-09-15 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-15 12:00:00,1.5033965e-08
